Provincia;Codice ISTAT Comune;Anno;Densita
SIENA;52032;2000;457.5
SIENA;52032;2001;450.5
SIENA;52032;2002;443.8
SIENA;52032;2003;451.3
SIENA;52032;2004;458.5
SIENA;52032;2005;457.6
SIENA;52032;2006;454.7
SIENA;52032;2007;453.6
SIENA;52032;2008;455.1
SIENA;52032;2009;457.3
SIENA;52032;2010;458.9
SIENA;52032;2011;459.5
GROSSETO;53011;2000;153.1
GROSSETO;53011;2001;151.5
GROSSETO;53011;2002;150.2
GROSSETO;53011;2003;153.0
GROSSETO;53011;2004;156.8
GROSSETO;53011;2005;159.6
GROSSETO;53011;2006;162.0
GROSSETO;53011;2007;164.7
GROSSETO;53011;2008;167.3
GROSSETO;53011;2009;169.4
GROSSETO;53011;2010;171.4
GROSSETO;53011;2011;173.0
PERUGIA;54039;2000;350.0
PERUGIA;54039;2001;341.9
PERUGIA;54039;2002;333.6
PERUGIA;54039;2003;338.6
PERUGIA;54039;2004;346.4
PERUGIA;54039;2005;354.8
PERUGIA;54039;2006;359.3
PERUGIA;54039;2007;361.4
PERUGIA;54039;2008;365.1
PERUGIA;54039;2009;368.8
PERUGIA;54039;2010;372.1
PERUGIA;54039;2011;375.0
TERNI;55032;2000;508.5
TERNI;55032;2001;501.8
TERNI;55032;2002;497.0
TERNI;55032;2003;505.2
TERNI;55032;2004;513.0
TERNI;55032;2005;515.7
TERNI;55032;2006;517.7
TERNI;55032;2007;520.9
TERNI;55032;2008;526.1
TERNI;55032;2009;530.3
TERNI;55032;2010;533.4
TERNI;55032;2011;535.0
VITERBO;56059;2000;148.4
VITERBO;56059;2001;147.2
VITERBO;56059;2002;146.0
VITERBO;56059;2003;146.7
VITERBO;56059;2004;148.2
VITERBO;56059;2005;148.6
VITERBO;56059;2006;148.6
VITERBO;56059;2007;149.6
VITERBO;56059;2008;152.0
VITERBO;56059;2009;154.1
VITERBO;56059;2010;155.6
VITERBO;56059;2011;157.3
RIETI;57059;2000;223.8
RIETI;57059;2001;218.2
RIETI;57059;2002;213.6
RIETI;57059;2003;220.2
RIETI;57059;2004;226.0
RIETI;57059;2005;227.3
RIETI;57059;2006;227.9
RIETI;57059;2007;229.3
RIETI;57059;2008;230.7
RIETI;57059;2009;231.1
RIETI;57059;2010;231.3
RIETI;57059;2011;231.4
ROMA;58091;2000;2061.6
ROMA;58091;2000;2061.6
ROMA;58091;2001;2023.6
ROMA;58091;2001;2023.6
ROMA;58091;2002;1961.7
ROMA;58091;2002;1961.7
ROMA;58091;2003;1943.4
ROMA;58091;2003;1943.4
ROMA;58091;2004;1948.4
ROMA;58091;2004;1948.4
ROMA;58091;2005;1950.6
ROMA;58091;2005;1950.6
ROMA;58091;2006;2008.6
ROMA;58091;2006;2008.6
ROMA;58091;2007;2074.0
ROMA;58091;2007;2074.0
ROMA;58091;2008;2081.2
ROMA;58091;2008;2081.2
ROMA;58091;2009;2090.7
ROMA;58091;2009;2090.7
ROMA;58091;2010;2104.9
ROMA;58091;2010;2104.9
ROMA;58091;2011;2119.4
ROMA;58091;2011;2119.4
LATINA;59011;2000;412.4
LATINA;59011;2001;401.8
LATINA;59011;2002;390.9
LATINA;59011;2003;394.2
LATINA;59011;2004;399.5
LATINA;59011;2005;404.8
LATINA;59011;2006;408.6
LATINA;59011;2007;413.2
LATINA;59011;2008;418.7
LATINA;59011;2009;424.4
LATINA;59011;2010;429.1
LATINA;59011;2011;431.8
FROSINONE;60038;2000;1014.1
FROSINONE;60038;2001;1024.3
FROSINONE;60038;2002;1033.2
FROSINONE;60038;2003;1032.2
FROSINONE;60038;2004;1035.7
FROSINONE;60038;2005;1035.7
FROSINONE;60038;2006;1029.1
FROSINONE;60038;2007;1025.7
FROSINONE;60038;2008;1026.2
FROSINONE;60038;2009;1027.0
FROSINONE;60038;2010;1026.0
FROSINONE;60038;2011;1020.9
CASERTA;61022;2000;1384.3
CASERTA;61022;2001;1388.9
CASERTA;61022;2002;1389.3
CASERTA;61022;2003;1426.5
CASERTA;61022;2004;1469.6
CASERTA;61022;2005;1473.9
CASERTA;61022;2006;1471.5
CASERTA;61022;2007;1464.8
CASERTA;61022;2008;1462.3
CASERTA;61022;2009;1462.0
CASERTA;61022;2010;1459.5
CASERTA;61022;2011;1460.0
BENEVENTO;62008;2000;486.7
BENEVENTO;62008;2001;480.9
BENEVENTO;62008;2002;474.3
BENEVENTO;62008;2003;473.7
BENEVENTO;62008;2004;479.8
BENEVENTO;62008;2005;485.2
BENEVENTO;62008;2006;484.7
BENEVENTO;62008;2007;483.9
BENEVENTO;62008;2008;482.2
BENEVENTO;62008;2009;479.9
BENEVENTO;62008;2010;478.0
BENEVENTO;62008;2011;474.9
NAPOLI;63049;2000;8540.5
NAPOLI;63049;2001;8548.9
NAPOLI;63049;2002;8582.7
NAPOLI;63049;2003;8565.1
NAPOLI;63049;2004;8508.7
NAPOLI;63049;2005;8439.6
NAPOLI;63049;2006;8354.1
NAPOLI;63049;2007;8306.8
NAPOLI;63049;2008;8257.8
NAPOLI;63049;2009;8214.4
NAPOLI;63049;2010;8197.0
NAPOLI;63049;2011;8170.5
AVELLINO;64008;2000;1851.4
AVELLINO;64008;2001;1794.2
AVELLINO;64008;2002;1758.8
AVELLINO;64008;2003;1819.8
AVELLINO;64008;2004;1864.4
AVELLINO;64008;2005;1873.1
AVELLINO;64008;2006;1871.7
AVELLINO;64008;2007;1874.0
AVELLINO;64008;2008;1874.6
AVELLINO;64008;2009;1865.4
AVELLINO;64008;2010;1855.5
AVELLINO;64008;2011;1852.3
SALERNO;65116;2000;2397.2
SALERNO;65116;2001;2372.3
SALERNO;65116;2002;2339.1
SALERNO;65116;2003;2327.1
SALERNO;65116;2004;2310.9
SALERNO;65116;2005;2295.1
SALERNO;65116;2006;2269.4
SALERNO;65116;2007;2318.3
SALERNO;65116;2008;2383.6
SALERNO;65116;2009;2376.1
SALERNO;65116;2010;2363.7
SALERNO;65116;2011;2355.3
L'AQUILA;66049;2000;149.7
L'AQUILA;66049;2001;148.5
L'AQUILA;66049;2002;147.6
L'AQUILA;66049;2003;149.7
L'AQUILA;66049;2004;152.2
L'AQUILA;66049;2005;153.6
L'AQUILA;66049;2006;154.4
L'AQUILA;66049;2007;155.0
L'AQUILA;66049;2008;155.8
L'AQUILA;66049;2009;156.0
